bn,en
পদে,pade
গোপন,gopan
অসুবিধা,asubidha
অন্ধ,andha
কাবুলের,kabuler
বালা,bala
হিসার,hisar
দুর্গে,durge
কাচা,kacha
ফল,fal
খাওয়া,khawa
জাফর,jafar
সোবহান,sobhan
কাজী,kazi
আনিস,anis
শিখর,sikhar
ধাওয়ান,dhawan
দলীয়,doliyo
সংগ্রহ,sangroho
একপর্যায়ে,akporjaye
১১৯/৮,119/8
ইনিংসের,inningser
কল্যাণে,kalyane
২৬৮,268
অল-আউট,all-out
পর্বতমালা,porbotmala
রেললাইনে,railline-e
চালানর,chalanor
ইঞ্জিন,engine
বিশিষ্ট,bisishto
যাত্রীবাহী,jatribahi
মির্জাগঞ্জ,mirzaganj
চেয়ারের,chairer
সাহায্যে,shahajjye
পঙ্গুত্বে,pongutwe
বরণকারী,barankari
ব্যক্তি,byekti
যাতায়াত,jatayat
বিমূর্ত,bimurta
তর্কবিদ্যা,tarkabidya
সম্মত,sammato
অবরোহ,abaroha
কিশোরীদের,kishorider
হাতিয়ার,hatiyar
ওঠে,uthe
মূলতঃ,muloto
উদ্বোধনী,udbodhani
ব্যাটসম্যান,batsman
নামেন,namen
সন্নাসীদের,sonnosider
ধোয়া,dhowa
দাত,dant
পরিষ্কারের,poriskarer
প্রতিদিন,protidin
সকাল,sokal
টা,ta
৪.৩০,4.30
শিষ্য,shisya
মাধবদেবের,madhabdeber
বরপেটাতে,barpetate
থানটিই,thantii
সর্ববৃহৎ,sarbabrihat
যুদ্ধরত,juddharato
সহযোদ্ধা,shohojoddha
দিলেন,dilen
গুলিবিদ্ধ,gulibiddha
বেতন-নিবারক,betan-nibarak
বিছানা,bichana
সেকেন্ড,second
ইকোপার্ক,ecopark
নয়নাভিরাম,nayanabhiram
সংবলিত,sangbalito
সুযোগ-সুবিধা,shujog-subidha
সৃষ্টির,sristir
উদ্দেশে,uddhyese
গঠিত,gathit
চাঁদপুর,chandpur
মিলনস্থলে,milansthale
উশিপুসি,ushipushi
কাটাই,katai
রাত,rat
অদ্যাবধি,adyabdhi
জুটির,jutir
সংগ্রহরূপে,sangrohorupe
টিকে,tike
লরা,laura
বাসুকি,basuki
চলচ্চিত্রটির,chalachitrotir
বোলা,bola
ফুটবলের,footboler
যেটির,jetir
প্রযোজক,projojak
নিয়া,niya
দিনাটা,dinata
পত্রিকাতে,potrikate
দেখেন,dekhen
এশিয়ার,asiar
ইমিগ্র্যান্ট,imigrant
ছেলের,cheler
প্রচলন,procholon
উদ্দেশ্য,uddeshyo
মেয়ের,meyer
ছেলেকে,cheleke
স্থায়ী,sthayi
বাসিন্দা,basinda
করানো,korano
প্রকোপ,prokop
ঔপনিবেশিক,ouponibeshik
হোসেন,hosen
সোহরাওয়ার্দী‌র,sohrabordir
ইন্ডিপেন্ডেন্ট,independent
রাষ্টবিজ্ঞান,rastrabigyan
কই,koi
মাছগুলোর,machgulor
দামী,dami
থিয়েনচিন,thienchin
ওঠা,otha
পোতাশ্রয়,potasroy
মহাদেব,mahadeb
স্যানাল-বিশিষ্ট,sonnol-bishista
ভাষাসৈনিক,bhashasoinik
১৯৫২,1952
হাস্যরসের,hasyaraser
সম্মানসূচক,sanmansuchak
মশিউর,moshiur
যাদু,jadu
মিয়া,miyan
মন্ত্রী,montri
১০টি,10ti
কাব্যগ্রন্থ,kabyagrantha
৪টি,4ti
সমালোচনা,samaclochona
প্রকাশিত,prakashito
বাংলাকে,banglake
রাষ্ট্রভাষার,rastrabhashar
পরে,por
মিনারের,minarer
অভ্যাসের,abhyaser
সামঞ্জস্যপূর্ণ,samanjyashyapurno
প্রক্ষাপটে,prekkhapote
পুনরাবৃত্তি,punarabritti
প্রসঙ্গ,proshongo
ক্রমিক,kramik
একদিন,ekdin
লক্ষ্ণণসেনের,lakkhansener
সভায়,sabhay
সঙ্গীতনিপুণ,shongeetnipun
কলাবিদ,kalabid
জাহির,jahir
বরণী,barani
চিঠির,chithir
জবাব,jobab
দেয়না,deyna
বাহুল্য,bahulya
অনুষ্ঠানেও,anusthneo
খাবারের,khabarer
প্রোটিস্টা,prortista
প্রমান,proman
সাম্প্রদাযিক,samprodayik
নয়৷,noy
মহল৷,mahal
অার,ar
আদিনা ৷,adina
আদিনা,adina
"মসজিদ,আদিনাথ","masjid, adinath"
নয় ৷,noy
গিলেট,gillet
শিপ,ship
বিল্ডিং-এ,building-e
সুগার,sugar
এগ্লাইকনের,eglaikoner
শোষন,shoshan
কার্যসম্পাদনের,karjosampadoner
ব্রহ্মানন্দ,brahmananda
কেশবচন্দ্র,keshab chondro
সেনের,sener
সঙ্গেও তিনি,songeo
সুকোমল,sukomal
পুরকায়স্থ,purkayastha
১৯,19
অসম,asam
রাজ্য,rajya
অন্তর্ভূক্তির,antarbhuktir
দাবীতে,dabite
চলাকালীন,chalakalin
রেলস্টেশন,railstation
আধা-সামরিক,adha-samarik
ছোড়া,chora
গুলিতে,gulite
মান্ডালেতে,mandalayte
১৮টি,18ti
ধ্বংস,dhawngsho
মুসলিম-মালিকানাধীন,muslim-malikanadhin
ব্যবসায়-বাণিজ্য,byabasaye-banijya
ভাংচুর,bhangchur
১৮৭৫,1875
এপ্রিলে,aprile
গ্র্যান্ট,grant
কাউন্টির,countyir
শেরিফ,sheriff
হার্বি,harbi
হুইটহিল,whithill
পনির,poneer
চুরির,churir
অপরাধে,aparadhe
গ্রেফতার,greftar
খালপাড়,khalpar
বৌবাজার,boubazar
১৯৪৭,1947
পর,par
প্রকাশনা,prokashana
সেনাবাহিনী,senabahini
মুক্তিযোদ্ধাদের,muktijoddhader
তীব্রভাবে,tibrabhabe
প্রতিরোধ,protirodh
সাহসিকতার,shahoshikotar
বিক্রম,bikram
খেতাব,khetab
ক্ষমা,khama
সততা,satata
উপবর্গের,upabarger
থিম,theme
ইতিহাস,itihaash
পার্থ,perth
কেন্দ্রে,kendre
৫১তম,51tam
তলা,tala
অফিস,office
আদর্শ,adarsha
জাতীয়তাবাদি,jatiyotabadi
পোল্ড,pold
ডরসেট,dorset
সম্পূর্ন,sumpurna
রঙের,ronger
মাঝারি,majhari
গঠন,gothon
বিশিষ্ট,bisisto
ভেড়া,bhera
ঋতুতেও,rituteo
চ্যারিটিজ,charities
অ্যাক্ট,act
অ্যাক্টে,act-e
এখন,akhon
দাতব্য,datobyo
সংজ্ঞাটি,songyati
চ্যারিটিবল,charitable
ইউজেস,usage
১৬০১,1601
স্টেচুট,statute
এলিজাবেথ,elizabeth
পরিচিত)-এর,porichito)-er
উদ্দেশ্যের,uddeshyer
বিপক্ষে,bipokkhe
সিরিজে,seriese
শ্রীনিবাসরাঘবন,srinibasraghaban
ভেঙ্কটরাঘবনকে,venkataraghavanke
জেনারেল,general
এস্তোনিয়ার,estoniyar
তার্তুতে,tartute
লং,long
রেঞ্জ,range
এভিয়েশনের,aviationer
৩২৬তম,326tama
হেভি,heavy
বম্বার,bombar
ডিভিশনের,divisioner
কমান্ডার,commander
হামিদা,hamida
ক্বাযাখ,kazakh
হামিদ,hamid
মঠ,math
দর্শন,darshan
নিশ্চিত,nischito
বেঁচে,benche
পবিত্র,pobitra
নামেই,namei
নামটি,namti
ধারনা,dharana
যুক্তরাষ্ট্রে,juktotrastre
ইউনিভার্সিটিগুলি,universityguli
ইয়েল,yale
বিশ্ববিদ্যালয়ের,bishwavidyalayer
নিয়ন্ত্রিত,niyantrito
পেনসিলভানিয়া,pennsylvania
মাধ্যমিকের,madhyomiker
শাসিত,shashito
ভার্জিনিয়া,virginia
তহবিল,tahabil
প্রাপ্ত,prapta
জুঁইদণ্ডী,juidandi
২টি,2ti
হাট/বাজার,hat/bazar
হল,halo
হাট,hat
চৌমুহনী,chaumuhani
ফোন,phone
নম্বরে,numbere
ক্রমানুযায়ী,kramonujayi
ডায়াল,dial
অনেকের,oneker
প্রাণকেন্দ্র,prankendro
লালমাই-ময়নামতি,lalmai-moynamati
কুমিল্লা,comilla
আমাদের,amader
অসহায়,oshohay
পরিবারটির,poribartir
মুক্তিযুদ্ধ,muktijuddha
সল্ট,salt
লেক,lake
শরণার্থী,sharanarthi
আরতি,arati
আগারওয়াল,agarwal
দক্ষিণ,dakhhin
আক্রমণে,akramone
ব্যতিব্যস্ত,byatibyastho
এস্তেলা,estela
কারলত্তো,karlotto
সংগঠনের,sangathaner
সভাপতির,sabhapatir
এজন্য,ejonya
লৌহ,laoho
আমির,amir
রবীন্দ্রনাথ,rabindranath
ঠাকুর,thakur
ঋষিতুল্য,rishitulya
বসু,bosu
বলেছেন,bolechen
ঘরোয়া,gharoya
এসেক্সের,essexer
প্রতিনিধিত্ব,protinidhitwa
ফ্রেডরিক,fredrick
বুল,bull
তাজরীন,tajrin
দেবীকে-প্রস্তরময়ী,debike-prostormoyi
দেবীকে,debike
স্বমহিমায়,swamahimay
সুইজারল্যান্ডের,switzerlander
জেনেভায়,genevay
সার্নের,sarner
বরপক্ষ,barpakkha
গহনা,gahana
আসতেন,ashten
ঝর্ণার,jharnar
ধারে,dhare
পাথরের,pathorer
ডানা,dana
মেলে,mele
কাছাকাছি,kachakachi
নিচু,nichu
পাতার,patar
এরা,eta
বিশ্রাম,bishram
সময়ে,shomoy
আরিস্তোতল,aristotle
চাইত,chaito
চিকিৎসাবৈজ্ঞানিক,chiktsaboigyanik
পরিভাষা,poribhasha
বা,baa
গাণিতিক,ganeetik
সমস্যার,samasyar
খুঁজত,khunjto
বুদ্ধিবৃত্তিক,buddhibrittik
আরবির,arabir
অপরিহার্য,aporiharjjyo
শিওরি,shiori
পই,poi
বর,bar
মদের,moder
জু,ju
জাবার,jabar
কলসির,kolsir
ভেতর,bhetor
ঢেলে,dhele
সরু,soru
নল,nal
বসানো,boshano
সেন্ট,st
লুসিয়ার,luciar
বিউসেজাউর,biusejaur
স্টেডিয়ামে,stadiume
ওডিআইয়ে,odie
রুনাকো,runako
মর্টনকে,mortonke
সাঙ্গাকারা’র,sangakara'r
কট,caught
লাভ,laabh
পৃথিবীতে,prithibite
অবতরণ,abataran
বায়ুমণ্ডলের,bayumadaler
নভোখেয়াযানটি,nabhokheyajanti
বিধ্বস্ত,biddhwasto
গিয়েছিল,giyechilo
রেইমন্ড,raymond
যুদ্ধ,juddho
পালানোর,palanor
১১৮৭,1187
প্লুরেসিতে,pluresite
১৯৭৫,1975
দ্যুরার,durar
ইন্ডিয়া,india
সং,song
শান্তাল,chantel
আকারমানের,akarmaner
দিয়েলমাঁ,dielman
ভাঁ,van
দ্যু,du
কমের্স,commerce
মিল,mill
ব্রুইসেল,bruissel
শ্রেষ্ঠাংশে,shrestangse
প্রিমিয়ার,premier
উপবর্গগুলির,upabargagulir
উপাদানও,upadano
বিদ্যমান,bidyaman
নিজস্বতা,nijaswata
বজায়,bojay
রেখেই,rekhei
বার্মাতে,burmate
দেশই,deshei
পুনঃস্থাপন,punohsthapon
রাখত,rakhto
ভবনটিকে,bhabantike
সংস্থার,shonghsthar
নির্দেশক,nirdeshak
১৮৮৩,1883
গ্রেট,great
ওয়েস্টার্ন,western
হোটেলে,hotele
রূপান্তর,rupantor
সময়কালের,shomoykaler
৩টি,3ti
ম্যানগ্রোভ,mangrove
বনের,baner
সুন্দরবন,sunderban
সর্ববৃহৎ,onnotama
মহামুনি,mahamuni
প্রধানত,prodhanata
রাখাইন,rakhain
মন,non
বর্মন,burman
মূর্তিটি,murtir
পরিদর্শন,poridarshan
উপাসনা,upashona
সীতাকুন্ড,sitakunda
উর্বশী,urbashi
ঢোলাকিয়া,dholakiya
উপদলও,upadalo
আক্রমণ,akraman
কনরাড,conrad
অ্যাবট,abott
পুরাতত্ত্ববিদ,puratatwabid
প্রতিষ্ঠার,protisthar
অন্টারিও,ontario
শাসনকার্যের,shashonkarjer
সুবিধার,subidhar
শান্তি,shanti
শৃংখলা,shrinkhala
রক্ষাকল্পে,rokkhyakolpe
৭টি,7ti
চাকলায়,chaklay
পরগনার,parganar
গতির,gotir
সিটিসেল,citycell
নুতন,notun
সার্ভিসের,sevice-er
জুম,zoom
আল্ট্রা,ultra
আশেপাশের,ashepasher
সংরক্ষণ,sanrakkhan
রুয়ান্ডায়,ruwanday
আনুষ্ঠানিক,onushthanik
সুদৃঢ়,sudrirh
জানায়,janay
বদরপুরের,badarpurer
সুরমা,surma
কুশিয়ারা,kushiyara
শাখায়,shakhay
সিলেটের,sylheter
সমভূমিতে,samabhumite
মিলিত,milito
ভাপে,bhape
ভেজে,bheje
সিদ্ধ,siddha
কলা,kola
পাতায়,patay
মুড়ে,mure
সরিষা,sorisha
জিরা,jeera
বেগুন,begun
আনারস,anaras
প্রণালীতে,pranalite
রান্না,ranna
মানুষই,manushhi
পড়ছিলেন,porchilen
প্রকাশনা,prokashona
সংঘ,shongho
সমাজতান্ত্রিক,shomajtantrik
কলামের,columner
কংক্রিটের,concreter
স্তুপ,stup
৭০,70
মিটার,metre
গভীর,gobhir
ভরাট,bhorat
ব্যবহারকারীকে,byaboharkarike
সার্ভারে,server-e
ফাইল,file
সংরক্ষণ,songrokkhon
যন্ত্রের,jontrer
সিনক্রোনাইজেশন,synchronization
ভাগাভাগির,bhagabhagir
রোমেচা,romecha
কোটালিপাড়া,kotalipara
রেইনল্ড,raynold
মক্কা,mecca
আক্রমণের,akramoner
সফলতা,safalata
পাননি,panni
শ্বেতহূণ,swethun
গ্রিকভাষায়,greekbhashay
হেপথ্যালাইটদের,hepthalytder
প্রকৃত,prokrito
যথেষ্ট,jathesto
ধোঁয়াশা,dhonyasha
১৯০৫,1905
হেইসের,hayeser
কার্যকরী,karjokari
পশ্চিমমুখী,poschimmukhi
রাস্তা,rasta
ঢাউলি,dhauli
কাহিনীর,kahinir
দেখানো,dekhano
বেদগুলি,bedguli
অসুর,asur
চুরি,churi
অসুরকে,asurke
বধ,badh
স্তুপের,stuper
নকশা,naksha
এঁকেছিলেন,enkechilen
এম,m
ওড়িষা,odisha
প্রদেশের,pordesher
জেলায়,jelay
বৈতিয়া,boitiya
লুলী,luly
ষোড়শ,shorosh
লুইএর,luiser
শাসনামলে,shashanamale
আদালতে,adalote
হাকিমপুর,hakimpur
পৌরসভা,pourosabha
জেলাধীন,jeladhin
হিলি,hili
স্থল,sthal
বিশ্ববিদ্যালয়টির,bishwobidyaloytir
যুক্তরাষ্ট্রের,juktorashtre
প্রাচীনতম,prachintama
উচ্চ-শিক্ষা,uccha-shikkha
দশকে,dashake
অগ্নিকাণ্ডে,agnikande
ভবনটি,bhabanti
ভষ্মীভূত,bhasmibhuto
ক্রুসেডাররা,crusaderra
সরাসরি,shorashori
লড়তে,lorte
গাইকে,gaike
বাম,baam
অগ্রভাগ,agrabhag
মাইল,mile
৯.৭,9.7
কিমি,km
দূরের,durer
হাত্তিনের,hattiner
জলধারার,jaldharar
প্রলুব্ধ,prolubddha
বিমানঘাঁটি,bimanghati
যেখান,jekhan
গ্যাংটক,gangtok
সিকিমের,sikkimer
নিয়মিত,niyamito
হেলিকপ্টার,helicoptar
পরিষেবা,porisheba
দারিদ্র্য,daridra
পরিষ্কার-পরিচ্ছন্নতার,porishkar-poricchannatar
অভাব,abhab
ঠাণ্ডা,thanda
পরিবেশে,poribese
অজ্ঞতাই,agyatai
রোগের,roger
প্রথম,protham
পরবর্তীকালের,parobortikaler
সর্বাধিক,sarbadhik
গুরুত্বপূর্ণ,gurutwapurna
সে,tse
তুংও,tungo
হুনান,hunan
গোষ্ঠী,gosthi
আগত,agata
দু'জন,dujan
উক্ত,ukta
দং,dong
বিউ,bew
লি,lee
দা,da
চেন,chen
তানকিউ,tankeu
লিউ,liu
রেনজিং,renjing
জউ,jau
ফোহাই,fohai
হে,he
শুহেং,shuheng
দেং,deng
এনমিং,enming
প্রতিনিধি,protinidhi
হেঙ্ক,henk
স্নিভলিয়েত,sleevliyet
মারিং,maring
অধিক,adhik
জনপ্রিয়,jonopriyo
পরিসীমা,porishima
শ্রীকৃষ্ণের,srikrishner
ভগদত্ত,bhagadutta
প্রাগজ্যোতিষের,pragjyotisher
জা'ফর,ja'far
সাদেক,sadek
১৭ই,17i
রবিউল,rabiul
আওয়াল,aaoyal
৮৩,83
হিজরীতে,hijrite
মদিনা,madina
নগরীতে,nagarite
অত্র,atra
ভারেঙ্গা,bharenga
পূর্বদিক,purbo
যমুনা,jamuna
প্রবাহিত,probahito
কখনো,kakhono
সিঙ্গল,single
টাইটেল,title
কতদিন,kotodin
বুকস্ট্যান্ডে,bookstande
দোকানদাররাই,dokandarrai
শিকারি,shikari
পাখিরা,pakhira
শত্রু,shatru
বিপদ,bipad
প্রথমে,prothome
পাঁচজন,panchjon
শিক্ষক,shikhak
ছেচল্লিশ,chechollish
ছাত্র-ছাত্রী,chatra-chatri
মূর্তিটি,murtiti
জটামুকুট,jatamukut
নাগাউপবীতধারী,nagaupabitdhari
বালাগঞ্জ,lalaganj
নবশক্তির,nabashoktir
বিজয়ভূষণ,bijaybhushan
দাশগুপ্ত,dasgupta
তিতাস,titas
উপন্যাস,uponnyas
খ্যাত,khyato
অদ্বৈতমল্ল,adwaitamalla
বর্মণ,burman
আর্মেনিয়াতে,armeniate
উরুগুয়ের,uruguayer
উরুগুয়েতে,uruguayte
আর্মেনিয়ার,armeniar
মেমপেসি,mempesi
সায়োসিস,sayosis
আত্মার,atmar
পুনর্গঠনেও,punargathaneo
শুধুমাত্র,sudhumatra
অজমের,ajmer
ভোপাল,bhopal
বিন্ধ্যপ্রদেশে,bindhyaprodeshe
বোর্ড,board
সীমাবদ্ধ,simabaddha
সিনকোপ,sincop
গ্রহণকারীদের,grahankarider
ক্ষেত্রে,khetra
অবশ্য,abasya
পেসমেকার,pacemaker
লাগানোর,laganor
বলটাকে,balltake
ছুঁড়ে,chunre
কী,ki
রাবণের,raboner
রাজসভায়,rajshobhay
দাঁড়িয়ে,dariye
অত্যন্ত,otyonto
রাবণকে,rabonke
উপদেশ,upodesh
যোগাযোগমাধ্যম,jogajogmadhyom
ওয়েবসাইট,website
সমূহের,shomuher
সাথেও,shatheo
টক্কর,takkar
যেগুলোর,jegulor
ইনস্ট্রাগ্রাম,instagram
মোবলি,mobli
দুইবার,duibaar
ত্রিপুরার,tripurar
রাজ্যহারা,rajyahara
যুবরাজ,jubaraj
কৃষ্ণমণির,krishnamonir
ভাতিন্ডার,bhatindar
গভর্নর,governor
করেণ,koren
মোত্তালেব,mottaleb
ইয়েমেনে,yemene
মারা,mara
পাশেই,pashei
আবাসস্থলের,abosthaler
চিহ্ন,chinha
হোয়াইট,white
বক্স,box
ব্ল্যাক,black
দুধরণের,dudhoroner
বক্সে,boxe
পর্যাপ্ত,porjapto
তথ্যই,tothyoi
বরিশালে,barishale
কংগ্রেসের,congresser
সম্মেলনের,sammeloner
অভ্যর্থনা,abhyarthana
যুগ্ম,jugma
সাব,sub
ইন্সপেক্টর,inspector
কর্মরত,karmarata
মুজিবুর,mujibur
মহিলা,mahila
বগুড়া,bagura
সরকারী,shohokari
কার্নোর,karnor
দিনগুলো,dingulo
কাটে,kate
ডোরসেটের,dorseter
লিলিপুট,liliput
ডায়বেটিকে,diabetice
১৯৪১,1941
৭৫,75
আবিষ্কৃত,abishkrita
গ্রহগুলোর,grahagulor
৮টিকে,8tike
গ্রহের,graher
মর্যাদায়,marjaday
বহাল,bahal
রটনায়,ratanay
নির্বাসনে,nirbasane
পাঠান,pathan
২০০৩-০৪,2003-04
খননকার্যের,khanankarjyer
পর্যায়,porjay
মোগলমারি,mughalmari
জায়গাকে,jaygayke
খননের,khananer
বেছে,beche
পশ্চিমাঞ্চলীয়,poschimoncholiya
সবুজ,sabuj
মুখ্যতঃ,mukhyatah
দিনের,diner
বিচরণ,bicharan
সক্রিয়,sakriyo
রাত্রিবেলাও,ratribelao
থাকতে,thakte
লেখাপড়ার,lekhaporay
খরচ,kharach
উদ্দেশে,uddeshye
উপার্জনের,uparjoner
চালালেন,chalalen
দ্বিতীয়,dwitiya
খেলাটি,khelati
ড্রয়ে,drawe
পরিণত,porinato
হয়েছিল,hoyechlo
গতিশীল,gotishil
বিকেন্দ্রিকরণের,bikendrikaraner
দিয়েই,diyei
৮,8
মহাবিশ্বের,mahabiswer
প্রাণের,praner
অস্তিত্বের,astitwaer
আশাবাদ,ashabad
পোষণ,poshan
ফুল,ful
ঘনবদ্ধ,ghanabaddha
গন্ধহীন,gandhahin
হার্ট,heart
অ্যাটাক,attack
দেহে,dehe
কৃত্রিম,krittim
ফেরার,ferar
সাম্রাজ্যে,shamrajye
মাত্রায়,matray
থাকলে,thakle
স্বয়ংক্রিয়ভাবে,swayankriyabhabe
জ্বলে,jwale
সুপরিচিত,suporichito
নাট্য,natya
খ,kha
দ্বিতীয়ত,dwitiyata
বাংলাদশে,bangladesh
অস্ত্রচালনা,astrachalana
বিস্ফোরকদ্রব্যের,bisforakdrabyer
গেরিলাযুদ্ধের,guerillajuddher
কলাকৌশলে,kolakoushale
সেগুলো,shegulo
কাঠির,kathir
টুকরো,tukro
গোলাপি,golapi
সাদ,sada
মেঘ,megh
১৮৭৪,1874
ইয়েলোস্টোন,yellowstone
বিনোদনের,binodoner
সর্ব,sarbo
উদ্যান,udyan
গঠিত,gathito
১৯০৯,1909
আলাসিঙ্গা,alasinga
ভার্জিন,virgin
আটলান্টিক,atlantic
রেকর্ডস,records
মিউজিক,music
লেভেল,level
প্রতিষ্ঠা,prothistha
বি.এস-সি,b.s-c
সিভিল,civil
ইঞ্জিনিয়ারিং,engineering
ইতিহাসবিদেরা,itihaasbidera
কেউ,keu
কুমিল্লার,comillar
ধীকোটি,dhikoti
করণ,karon
গ্রন্থও,granthao
১০৩৯,1039
ভূষণে,bhushane
প্রচলন,prachalon
যুগ-যুগান্তরের,jug-jugantarer
নামিবিয়া,namibia
পিতার,pitar
দ্রোপিদাস,dropidas
১৭৩৭,1737
মেরু,meru
প্রদেশের,prodesher
মধ্যরেখা,madhyarekha
নিরূপণের,niruponer
মানদণ্ড,mandanda
প্রণয়ন,pranayan
সংক্রান্ত,sankranto
সতের,sater
শতকের,shataker
দিল্লীর,delhir
সমাধিটি,somadhiti
পুরাতত্ব,puratatwa
সর্বেক্ষণ,sarbekkhan
অবহেলিত,abahelito
অপরিচ্ছন্ন,aparicchanna
বিদ্যমান,bidyoman
সন্দ্বীপ,sandweep
উত্তরাংশে,uttorangse
সন্তোষপুর,santoshpur
উত্তর-পশ্চিমাংশ,uttor-poschimansho
জুড়ে,jure
দীর্ঘাপাড়,dirghopar
বিশ্বাসে,bisshase
জল,jal
অতি,oti
সারবস্তু,sarbostu
অধিক,odhik
বইটির,boitir
সাফল্য,safolyo
লেখিকা,lekhika
বলেছিলেন,bolechilen
আগ্রহের,agroher
আতিসায্য,atisajya
আমাকে,amake
বিস্মিত,bismito
ময়দার,moydar
খামীর,khamir
প্রস্তুত,prastut
পটভূমিটি,patabhumite
হেয়ের,heyer
কাহিনিবিন্যাসের,kahinibinyaser
অঙ্গ,anga
যা,jaa
উপন্যাসে,uponyase
ল্যাবল্যাঙ্ক,lablank
পদ্ধতি,poddhoti
সাম্প্রতিক,samprotik
গবেষণায়,gobeshonay
এসিড,acid
ইদুরের,idurer
কোলেস্টোরেল,cholestorel
ইনসুলিনের,insuliner
কমিয়ে,komiye
নষ্টের,nashter
রক্ষা,rakkha
ছানাতে,chanate
চিনির,chinir
রস,ras
নামিয়ে,namiye
টাস্কেন্ট,tashkent
উজবেকিস্তান,uzbekistan
স্থায়ীভাবে,sthayibhabe
ফিলহারামনিক,filharmonik
ব্যাটসম্যানদের,batsmander
সফলতা,safalya
১৯২৪,1924
মসুল,mosul
ব্যস্ত,byasto
সাঈদ,syed
সংগঠিত,sangathito
মসজিদের,masjide
ছাদে,chade
আটাশটি,athashti
মিনার,minar
ফুল,phul
কাজটি,kajti
মারমা,marma
তরূণ-তরূণীরাই,torun-torunirai
ইচ্ছাই,icchai
নিয়ামক,niyamok
ফাংশনের,functioner
অন্তরক,antarak
সমীকরণটি,samikaranti
রইস,raees
চলচ্চিত্রটিও,chalachitro
অভিনেত্রী,abhnetri
মাহিরা,mahira
মোনাওয়াসা,monawasa
হৃদরোগে,hridroge
হলে,hoye
ফ্রান্সে,francee
যুদ্ধকালীন,juddhakalin
ঘোষণায়,ghosonay
ফিলিস্তিনে,filistine
ইহুদিদের,ihudider
আবাসভূমি,abasbhumi
তোলার,tolar
রাজনৈতিক,rajneetik
প্রতিষ্ঠানের,protisthaner
কিউবায়,cubay
ব্যাগ,bag
বিতর্কিত,bitarkito
স্বাক্ষরিত,swakkharito
মোড়,mor
ক্যালটেক,caltech
ভূপ্রকৃতবিদ্যায়,bhuprakritibidyay
হার্ভার্ড,harvard
মরিয়ম,mariyam
ইরানের,iraner
অর্ধপরিবাহী,ardhaporibahi
চার্চের,churcher
ভক্ত,bhakta
ঈশ্বরভক্ত,iswarbhakta
ভক্তদের,bhaktader
সম্মানিত,sanmanito
হংকং-এ,hongkong-e
"১৪০,০০০","140,000"
ফিলিপিনো,filipino
বাসিন্দাদের,basindader
অধিকাংশই,adhikangshoi
গৃহকর্মী,grihokormi
হাওয়াই,hawai
মিঠাই,mithai
সর্পাঘাতের,sorpaghater
হাতুড়ে,hature
চিকিৎসাও,chikitsao
৫২,52
মহাপদ্ম,mahapadma
জাতের,jater
দর্শনের,dorshoner
বামপন্থী,bamponthi
গদ্য,gadya
ব্যবসায়,byaboshay
শিক্ষা,shiksha
অনুষদ,anushad
পর্নোগ্রাফির,pornographyr
একমাত্র,akmatro
দৃশ্যায়ন,drishyayon
চার্লি,charlie
স্ত্রী,stree
নিরাপদ,nirapod
মাফিয়াদের,mafiader
প্রতিশোধ,protishodh
প্রতারণাসমূহের,protaronashomuher
হিটলার,hitler
ক্যালেইস,caleis
সাত,sat
সপ্তাহ,soptaho
দেরি,deri
ফেলে,fele
দেবিকা,debika
রাণীর,ranir
অচ্যুত,achyut
শিরোনামীয়,sironamiyo
চলচ্চিত্রে,chalachitre
কাইল,kyle
এ্যাবটের,abotter
অনুপস্থিতিতে,anuposthitite
প্রথমবারের,prothombarer
বিশ্ববিদ্যায়ে,bishwobidyaloye
অনুষদে,anushade
৮টি,8ti
প্রোগ্রামে,programe
সেগুলো,segulo
সাংবিধানিক,shangbidhanik
ক্ষার,khar
ধাতুর,dhatur
আয়নগুলো,iongulo
জুন,june
৪/৫,4/5
ফল,phal
পেকে,peke
মাঝামাঝি,majhamajhi
সেনা,sena
প্রত্যাহার,protyahar
বৌদ্ধধর্মীদের,bouddhodharmider
কাছেও,kacheo
পাঁচটি,panchti
মনোনয়ন,manonayon
পুরস্কারই,puroskari
অর্জন,arjon
সালামা,salama
৯৫০,950
জনের,joner
২২৮,228
অনিয়মিত,aniyomito
তেল,tel
আবিব-জেরুজালেম,aviv-jeruzalem
সড়কের,saraker
প্রবেশপথে,probeshpathe
লিড্ডা,lidda
রামল,ramal
অপারেশনের,operationer
গোস্টো,gosto
পাল,paul
ফুটবলার,footballer
প্রাক্তন,praktan
আইএফএ,ifa
শিল্ড,shield
জিতেছে,jiteche
এমন,amon
মোহনবাগান,mohanbagan
শ্মশানে,smashane
সুকোমলসহ,sukomalshoho
শহীদের,shahider
স্মরণে,smarane
১১টি,11ti
স্মৃতিস্তম্ভ,smritistambha
রেলস্টেশনের,railstationer
সামনেও,samneo
প্রত্যেকের,protyeker
১টি,1ti
স্তম্ভ,stambha
বেনফিকা,benfika
আর্জেন্টিনা,arjentina
ডিফেন্ডার,defender
দামি,dami
উপঢৌকন,upodhoukan
সম্মান,somman
জানান,janan
তক্ষকনিধনে,takkhaknidhane
ব্যর্থ,byartho
জন্মেজয়ের,janmejoyer
ক্রোধ,krodh
ব্রাম্ভণকুলের,brahmonkuler
ওপর,opor
১২৬৩,1263
এপিফ্যানি,epipheni
অনুভব,onubhab
